fold,test_project,model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc
12,spacy,XGBoost,0.7142857142857143,0.46296296296296297,0.0,0.0,0.0,0.8425925925925927,0.5099702380952381
13,thefuck,Dummy Baseline,0.7542857142857143,0.5,0.0,0.0,0.0,0.5,0.24571428571428572
13,thefuck,Logistic Regression,0.7371428571428571,0.48863636363636365,0.0,0.0,0.0,0.5140944326990838,0.2523360757386729
13,thefuck,Random Forest,0.7542857142857143,0.5078400281888654,0.5,0.023255813953488372,0.044444444444444446,0.5581395348837209,0.2993852146886955
13,thefuck,XGBoost,0.7485714285714286,0.4962121212121212,0.0,0.0,0.0,0.5866807610993656,0.2922418687063636
14,tornado,Dummy Baseline,0.75,0.5,0.0,0.0,0.0,0.5,0.25
14,tornado,Logistic Regression,0.6785714285714286,0.6746031746031746,0.4117647058823529,0.6666666666666666,0.509090909090909,0.7891156462585034,0.5901555933521134
14,tornado,Random Forest,0.7261904761904762,0.5317460317460317,0.375,0.14285714285714285,0.20689655172413793,0.7959183673469388,0.5373018366693656
14,tornado,XGBoost,0.7976190476190477,0.626984126984127,0.75,0.2857142857142857,0.41379310344827586,0.7664399092970522,0.5432677793869856
15,tqdm,Dummy Baseline,0.75,0.5,0.0,0.0,0.0,0.5,0.25
15,tqdm,Logistic Regression,0.6818181818181818,0.7272727272727273,0.42857142857142855,0.8181818181818182,0.5625,0.8016528925619835,0.7612302941250311
15,tqdm,Random Forest,0.7727272727272727,0.7272727272727273,0.5384615384615384,0.6363636363636364,0.5833333333333334,0.8347107438016529,0.7266774891774892
15,tqdm,XGBoost,0.7727272727272727,0.6666666666666666,0.5555555555555556,0.45454545454545453,0.5,0.8154269972451791,0.7223484848484849
16,youtube-dl,Dummy Baseline,0.75,0.5,0.0,0.0,0.0,0.5,0.25
16,youtube-dl,Logistic Regression,0.725,0.7833333333333333,0.47368421052631576,0.9,0.6206896551724138,0.8366666666666667,0.5760106560106559
16,youtube-dl,Random Forest,0.6,0.5333333333333333,0.2857142857142857,0.4,0.3333333333333333,0.6633333333333333,0.41109307449864724
16,youtube-dl,XGBoost,0.775,0.65,0.5714285714285714,0.4,0.47058823529411764,0.6499999999999999,0.40544246216660007
